Entity,Code,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data)
Belgium,BEL,1835,20.58,34.55,44.87
Belgium,BEL,1836,19.34,36.64,44.02
Belgium,BEL,1837,18.74,36.25,45.01
Belgium,BEL,1838,19.64,34.82,45.54
Belgium,BEL,1839,20.78,35.16,44.06
Belgium,BEL,1840,21.61,35.69,42.71
Belgium,BEL,1841,21.47,36.03,42.5
Belgium,BEL,1842,22.41,37.37,40.22
Belgium,BEL,1843,23.08,37.41,39.51
Belgium,BEL,1844,22.18,36.57,41.26
Belgium,BEL,1845,21.89,36.1,42.01
Belgium,BEL,1846,24.22,35.72,40.06
Belgium,BEL,1847,31.28,31.5,37.22
Belgium,BEL,1848,22.27,37.86,39.87
Belgium,BEL,1849,22.77,36.58,40.65
Belgium,BEL,1850,20.11,38.81,41.08
Belgium,BEL,1851,20.43,38.2,41.37
Belgium,BEL,1852,21.07,38.38,40.55
Belgium,BEL,1853,21.42,40.59,37.99
Belgium,BEL,1854,25.24,39.72,35.04
Belgium,BEL,1855,22.06,42.97,34.97
Belgium,BEL,1856,22.44,43.3,34.25
Belgium,BEL,1857,20.44,43.62,35.94
Belgium,BEL,1858,18.26,44.09,37.65
Belgium,BEL,1859,16.01,45.6,38.39
Belgium,BEL,1860,18.41,44.97,36.63
Belgium,BEL,1861,18.53,44.65,36.82
Belgium,BEL,1862,19.15,44.64,36.21
Belgium,BEL,1863,18.64,44.24,37.12
Belgium,BEL,1864,16.41,46.45,37.15
Belgium,BEL,1865,15.13,46.56,38.31
Belgium,BEL,1866,15.27,47.75,36.99
Belgium,BEL,1867,17.12,45.87,37.01
Belgium,BEL,1868,19.3,44.19,36.51
Belgium,BEL,1869,14.51,48.53,36.95
Belgium,BEL,1870,14.73,48.68,36.59
Belgium,BEL,1871,14.12,48.69,37.19
Belgium,BEL,1872,13.12,52.22,34.67
Belgium,BEL,1873,11.18,54.62,34.2
Belgium,BEL,1874,14.17,50.62,35.21
Belgium,BEL,1875,12.1,48.19,39.71
Belgium,BEL,1876,14.3,45.4,40.29
Belgium,BEL,1877,14.55,45.36,40.09
Belgium,BEL,1878,12.72,46.25,41.03
