Entity,Code,Year,Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data)
Belgium,BEL,1846,681000,414000,178000
Belgium,BEL,1856,712000,525000,211000
Belgium,BEL,1866,705000,627000,242000
Belgium,BEL,1880,674000,701000,384000
Belgium,BEL,1890,640000,827000,526000
Belgium,BEL,1900,616000,1046000,607000
Belgium,BEL,1910,585000,1184000,622000
Belgium,BEL,1920,525000,1173000,605000
Belgium,BEL,1930,505000,1426000,823000
Belgium,BEL,1947,364000,1347000,893000
Belgium,BEL,1961,213000,1316000,972000
Belgium,BEL,1970,197477.8225,1493903.32,2018394.876
Belgium,BEL,1971,184101.572,1492296.724,2060225.873
Belgium,BEL,1972,172728.0139,1470163.404,2095485.288
Belgium,BEL,1973,165111.1874,1471072.89,2133861.039
Belgium,BEL,1974,160353.8201,1473849.089,2181319.428
Belgium,BEL,1975,155935.2554,1418280.507,2209577.294
Belgium,BEL,1976,147979.635,1372726.628,2244537.298
Belgium,BEL,1977,141885.2497,1331691.968,2281863.341
Belgium,BEL,1978,138862.5693,1288703.447,2333681.472
Belgium,BEL,1979,138367.4551,1259537.994,2390219.796
Belgium,BEL,1980,132237.6211,1224876.319,2423309.236
Belgium,BEL,1981,129056.875,1155856.946,2433417.054
Belgium,BEL,1982,127686.875,1100688.103,2441924.147
Belgium,BEL,1983,127287.875,1059261.097,2436561.528
Belgium,BEL,1984,127051,1038256.382,2456067.868
Belgium,BEL,1985,126152.375,1022604.297,2490729.578
Belgium,BEL,1986,124604.5,1008453.207,2530800.168
Belgium,BEL,1987,122167.625,989850.4249,2579206.075
Belgium,BEL,1988,120207.875,989735.0486,2653365.451
Belgium,BEL,1989,119377,1005249.523,2697631.227
Belgium,BEL,1990,118489.75,1011963.002,2734407.998
Belgium,BEL,1991,117296.25,1004797.925,2756438.075
Belgium,BEL,1992,114539.125,986736.2257,2773621.274
Belgium,BEL,1993,112992.625,952280.8939,2788374.231
Belgium,BEL,1994,110751.125,928597.948,2801515.802
Belgium,BEL,1995,108951.875,918136.375,2840925
Belgium,BEL,1996,104785.5,905219.75,2871121.5
Belgium,BEL,1997,102043.75,893630.625,2903721.375
Belgium,BEL,1998,100278.125,894696.625,2964989.5
Belgium,BEL,1999,98864.75,888789.625,3024268.125
Belgium,BEL,2000,94837.625,899754.625,3096733.375
Belgium,BEL,2001,91850.875,908691.75,3149220.875
Belgium,BEL,2002,89107.25,879646.625,3175551.375
Belgium,BEL,2003,86255.25,859808.5,3199953.375
Belgium,BEL,2004,85034.75,846886.625,3242231.375
Belgium,BEL,2005,84544.75,843837.642,3300567.026
Belgium,BEL,2006,84147.625,846903.1429,3356015.302
Belgium,BEL,2007,82858.625,850901.912,3430756.197
Finland,FIN,1805,702000,31000,122000
Finland,FIN,1880,358000,48000,96000
Finland,FIN,1900,429000,95000,107000
Finland,FIN,1910,897000,175000,109000
Finland,FIN,1920,1032000,192000,164000
Finland,FIN,1930,1107000,252000,228000
Finland,FIN,1940,1158000,375000,338000
Finland,FIN,1950,912000,550000,494000
Finland,FIN,1960,721000,640000,666000
Finland,FIN,1970,471500,736600,1052300
Finland,FIN,1971,444900,736100,1063300
Finland,FIN,1972,419200,763600,1092300
Finland,FIN,1973,394300,805300,1123700
Finland,FIN,1974,369900,806500,1150000
Finland,FIN,1975,348300,800800,1174000
Finland,FIN,1976,336900,769300,1195500
Finland,FIN,1977,316500,743200,1200300
Finland,FIN,1978,304000,721200,1213800
Finland,FIN,1979,306100,739600,1242200
Finland,FIN,1980,308600,769000,1276800
Finland,FIN,1981,305800,765900,1312500
Finland,FIN,1982,310500,760000,1340400
Finland,FIN,1983,300500,755300,1364000
Finland,FIN,1984,298000,749000,1387700
Finland,FIN,1985,281900,740500,1416000
Finland,FIN,1986,267800,726900,1436000
Finland,FIN,1987,254800,718400,1471100
Finland,FIN,1988,243700,718400,1507000
